move,X,Y,Z,E,F,A,command,line,,,,,
TRUE,134.263,65.625,0.2,0.01784,1200,0,0,0,G1,G1 X134.263 Y65.625 E0.01784,,,
TRUE,133.778,65.853,0.2,0.01782,1200,0,0,0,G1,G1 X133.778 Y65.853 E0.01782,,,
TRUE,133.264,66.007,0.2,0.01785,1200,0,0,0,G1,G1 X133.264 Y66.007 E0.01785,,,
TRUE,132.519,66.099,0.2,0.02497,1200,0,0,0,G1,G1 X132.519 Y66.099 E0.02497,,,
TRUE,118.161,66.1,0.2,0.47755,1200,0,0,0,G1,G1 X118.161 Y66.1 E0.47755,,,
TRUE,117.463,66.091,0.2,0.02322,1200,0,0,0,G1,G1 X117.463 Y66.091 E0.02322,,,
TRUE,116.928,66.044,0.2,0.01786,1200,0,0,0,G1,G1 X116.928 Y66.044 E0.01786,,,
TRUE,116.407,65.918,0.2,0.01783,1200,0,0,0,G1,G1 X116.407 Y65.918 E0.01783,,,
TRUE,115.91,65.716,0.2,0.01784,1200,0,0,0,G1,G1 X115.91 Y65.716 E0.01784,,,
TRUE,115.449,65.443,0.2,0.01782,1200,0,0,0,G1,G1 X115.449 Y65.443 E0.01782,,,
TRUE,115.033,65.104,0.2,0.01785,1200,0,0,0,G1,G1 X115.033 Y65.104 E0.01785,,,
TRUE,114.672,64.708,0.2,0.01782,1200,0,0,0,G1,G1 X114.672 Y64.708 E0.01782,,,
TRUE,114.374,64.262,0.2,0.01784,1200,0,0,0,G1,G1 X114.374 Y64.262 E0.01784,,,
TRUE,114.146,63.776,0.2,0.01785,1200,0,0,0,G1,G1 X114.146 Y63.776 E0.01785,,,
TRUE,113.993,63.262,0.2,0.01784,1200,0,0,0,G1,G1 X113.993 Y63.262 E0.01784,,,
TRUE,113.901,62.515,0.2,0.02503,1200,0,0,0,G1,G1 X113.901 Y62.515 E0.02503,,,
TRUE,113.9,48.125,0.2,0.47861,1200,0,0,0,G1,G1 X113.9 Y48.125 E0.47861,,,
TRUE,113.909,47.46,0.2,0.02212,1200,0,0,0,G1,G1 X113.909 Y47.46 E0.02212,,,
TRUE,113.957,46.926,0.2,0.01783,1200,0,0,0,G1,G1 X113.957 Y46.926 E0.01783,,,
TRUE,114.083,46.405,0.2,0.01783,1200,0,0,0,G1,G1 X114.083 Y46.405 E0.01783,,,
TRUE,114.285,45.908,0.2,0.01784,1200,0,0,0,G1,G1 X114.285 Y45.908 E0.01784,,,
TRUE,114.683,46.009,0.2,0.01784,3600,0,0,0,G0,G0 F3600 X114.683 Y46.009,,,
TRUE,114.954,45.582,0.2,0.01682,1200,0,0,0,G1,G1 F1200 X114.954 Y45.582 E0.01682,,,
